Date,Device,Resource,Avg_Util_(%),Peak_Hourly_Avg_Util_(%),Peak_Util_(%),Avg_Discards_(%),Max_Hourly_Avg_Discards_(%),Avg_Errors_(%),Max_Hourly_Avg_Errors_(%)
08-06-2023,AMRPSTLMO01CS01-01,AMRPSTLMO01CS01-01_E3/1_437256192_to stl-ibmamplsrta gi3/6,3017.38,50670.79,260102.43,0.0,0.0,0.0,0.0
08-06-2023,AMRPSTLMO01CS01-01,AMRPSTLMO01CS01-01_E4/1_437780480_to stl-ibmamplsrtb gi3/6,848.77,20304.16,243632.22,0.0,0.0,0.0,0.0
08-06-2023,AMRPLEXKY01CS01-01,AMRPLEXKY01CS01-01_E4/1_437780480_to lex-ibmamplsrtb gi3/6,844.71,10130.42,121590.39,0.0,0.0,0.0,0.0
08-06-2023,AMRPLEXKY01CS01-01,AMRPLEXKY01CS01-01_E3/1_437256192_to lex-ibmamplsrta gi3/6,520.52,6239.91,74875.66,0.0,0.0,0.0,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/2_436208128_to AMRPLEXKY01AG04-01 e3/11,447.72,3581.66,21489.9,0.0,0.0,0.0,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/4_436209152_to AMRPLEXKY01AS12-01 e1/3-4,334.23,3438.11,27496.45,0.0,0.0,0.0,0.0
08-06-2023,AMRPLEXKY01CS02-01,AMRPLEXKY01CS02-01_E4/1_437780480_to lex-ibmamplsrta gi3/46,322.25,7720.54,92640.58,0.0,0.0,0.0,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/7_436210688_AS11-01fx101,260.38,2081.13,12500.31,0.0,0.0,0.0,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_port-channel31_369098782_to AMRPLEXKY01AG3-01 e1/1-2 AG04 e3/,259.78,2350.61,21418.57,0.0,0.0,0.0,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/2_436208128_to AMRPLEXKY01AG04-01 e4/15,253.46,1521.73,18265.14,0.0,0.0,0.0,0.0
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_E1/2_436208128_to AMRPLEXKY01AG04-01 e4/13,249.69,3993.88,23963.82,0.0,0.0,0.0,0.0
